fips,pa_tweets,diet_tweets,smoking_tweets,alcohol_tweets,sleep_tweets,total_tweets,leisure_prev,smoking_prev,binge_prev,sleep_prev,obesity_prev,diet_prevalence,pa_rate,diet_rate,smoking_rate,alcohol_rate,sleep_rate,state
02180,161,27,7,74,35,363,27.1,30.35,21.25,34.85,33.25,0.2313527180783817,0.44352617079889806,0.0743801652892562,0.01928374655647383,0.20385674931129477,0.09641873278236915,02
02185,165,45,20,86,50,432,25.7667,25.7333,22.7,33.0,37.6667,0.3791092258748674,0.3819444444444444,0.10416666666666667,0.046296296296296294,0.19907407407407407,0.11574074074074074,02
02188,58,19,3,51,14,175,30.5,32.6,21.6,35.25,40.75,0.4616509371261464,0.3314285714285714,0.10857142857142857,0.017142857142857144,0.2914285714285714,0.08,02
02195,1,0,0,0,0,1,21.2,18.8,19.6,31.1,31.9,0.0440366972477064,1.0,0.0,0.0,0.0,0.0,02
02220,322,78,20,132,78,765,19.05,17.2,19.45,29.3,31.75,0.3452313928611643,0.42091503267973857,0.10196078431372549,0.026143790849673203,0.17254901960784313,0.10196078431372549,02
02240,27,1,1,13,4,52,22.3,21.7,19.15,32.85,33.8,0.297339593114241,0.5192307692307693,0.019230769230769232,0.019230769230769232,0.25,0.07692307692307693,02
02261,140,30,4,51,22,281,19.9667,17.5667,20.2,30.7667,33.0333,0.2826899128268991,0.498220640569395,0.10676156583629894,0.014234875444839857,0.18149466192170818,0.07829181494661921,02
02282,4,1,2,1,4,14,23.2,22.5,19.9,33.4,34.7,0.0030211480362537,0.2857142857142857,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.2857142857142857,02
02290,137,30,6,48,41,322,28.65,31.225,19.65,35.425,36.25,0.8956692913385826,0.4254658385093168,0.09316770186335403,0.018633540372670808,0.14906832298136646,0.12732919254658384,02
04001,260,72,11,96,80,596,26.8813,26.8438,14.325,37.6813,35.3937,0.5471769344780335,0.436241610738255,0.12080536912751678,0.018456375838926176,0.1610738255033557,0.1342281879194631,04
04003,2305,441,66,1114,385,5229,25.7812,18.3156,14.4531,34.1969,30.8312,0.4812616853632478,0.4408108624976095,0.08433734939759036,0.012621916236374068,0.21304264677758653,0.07362784471218206,04
04005,9312,1942,397,3940,1832,20890,19.0179,18.8679,17.8429,30.1,27.45,0.3717397046668768,0.44576352321685014,0.09296314025849689,0.01900430828147439,0.18860698898994735,0.08769746290090953,04
04007,6542,1341,194,2821,1270,14321,29.5,22.9125,14.65,35.0125,33.3438,0.3080666178027527,0.456811675162349,0.09363871238042036,0.013546540046086167,0.19698345087633545,0.08868095803365687,04
04009,774,122,20,383,151,1770,24.1778,19.6444,17.4556,34.5667,32.4333,0.4885769154360638,0.43728813559322033,0.06892655367231638,0.011299435028248588,0.21638418079096045,0.08531073446327683,04
04011,103,30,7,52,41,283,24.8333,17.3667,16.1333,33.8333,32.5667,0.3291454308403461,0.36395759717314485,0.10600706713780919,0.024734982332155476,0.18374558303886926,0.14487632508833923,04
04012,239,58,19,130,80,641,30.025,19.925,12.525,32.1875,33.725,0.5864250482521982,0.37285491419656785,0.0904836193447738,0.029641185647425898,0.20280811232449297,0.12480499219968799,04
04013,213321,46255,9709,92029,39668,485689,21.8941,15.2377,16.2838,31.9143,30.4803,0.3505278465395649,0.4392131590379852,0.0952358402187408,0.01999015831118267,0.18948133476360388,0.08167366359954621,04
04015,4203,746,136,1850,754,9478,31.1953,21.1233,15.4581,36.7698,35.5395,0.4956464472526464,0.44344798480692127,0.07870858830977,0.014349018780333404,0.19518885840894704,0.0795526482380249,04
04017,1160,231,42,506,209,2632,28.1935,25.0581,14.0484,38.6548,34.4484,0.478117538934897,0.44072948328267475,0.08776595744680851,0.015957446808510637,0.19224924012158054,0.07940729483282674,04
04019,53693,10849,2077,22759,9561,119668,23.3378,16.3689,15.6905,33.4892,28.8108,0.4154006597535539,0.44868302303038404,0.0906591570010362,0.01735635257545877,0.19018451047899188,0.07989604572651002,04
04021,7044,1420,277,3210,1240,16113,26.1893,20.264,15.0347,37.096,36.7213,0.5611026223684897,0.43716253956432694,0.08812759883324024,0.017191087941413764,0.19921802271457828,0.07695649475578725,04
04023,581,147,26,238,129,1329,31.18,16.02,12.19,31.78,35.29,0.3628215942640236,0.43717080511662904,0.11060948081264109,0.019563581640331076,0.17908201655379985,0.09706546275395034,04
