FIPS,LAPOP1_10,Pop2010,diet_prevalence
13151,100823.0,160239,0.6292038767091657
13153,48976.0,113504,0.43149140118409923
13155,584.0,9538,0.061228769133990356
13157,19815.0,27562,0.7189246063420651
13159,393.0,13900,0.02827338129496403
13161,5747.0,15068,0.3814043005043801
13163,126.0,8199,0.015367727771679473
13165,79.0,8340,0.00947242206235012
13167,2226.0,9980,0.22304609218436874
13169,9543.0,17628,0.5413546630360789
13171,4109.0,7722,0.5321160321160321
13173,69.0,1936,0.035640495867768594
13175,9412.0,44629,0.21089426157879407
13177,9298.0,13750,0.6762181818181818
13179,20244.0,42406,0.47738527566853745
13181,448.0,7996,0.0560280140070035
13183,108.0,14464,0.007466814159292036
13185,18418.0,64601,0.28510394575935355
13187,224.0,12818,0.017475425183335933
13189,173.0,2253,0.07678650687971593
13191,2276.0,14333,0.1587943905672225
13193,63.0,1814,0.034729878721058434
13195,656.0,4256,0.15413533834586465
13197,0.0,4219,0.0
13199,721.0,7608,0.09476866456361724
13201,25.0,2605,0.009596928982725527
13205,4885.0,17502,0.2791109587475717
13207,908.0,8905,0.10196518809657495
13209,1109.0,2284,0.48555166374781084
13211,6184.0,9900,0.6246464646464647
13213,6967.0,30524,0.22824662560608047
13215,57404.0,153506,0.37395280966216304
13217,33596.0,67033,0.501185983023287
13219,7320.0,12084,0.605759682224429
13221,777.0,8353,0.09302047168681911
13223,69205.0,101934,0.6789196931347735
13225,7777.0,9934,0.7828669216831086
13227,5197.0,6660,0.7803303303303303
13229,1667.0,10960,0.1520985401459854
13231,4.0,3466,0.001154068090017311
13233,10041.0,16247,0.6180217886379024
13235,441.0,4523,0.09750165819146585
13237,3282.0,19783,0.1659000151645352
13239,77.0,2513,0.03064066852367688
13241,96.0,8313,0.01154817755322988
13243,2605.0,7719,0.33747894805026557
13245,95418.0,182837,0.5218746752571963
13247,33760.0,64417,0.5240852569973765
13249,25.0,2849,0.008775008775008775
13251,3062.0,11121,0.27533495189281537
13253,1225.0,8729,0.14033680834001605
13255,16887.0,39929,0.42292569310526185
13257,2718.0,6601,0.4117557945765793
13259,1125.0,6058,0.18570485308682733
13261,3223.0,13445,0.23971736705094832
13263,1960.0,6865,0.2855061908230153
13265,1569.0,1717,0.9138031450203844
13267,3428.0,25520,0.13432601880877743
13269,374.0,6566,0.05696009747182455
13271,6172.0,16500,0.37406060606060604
13273,742.0,9315,0.07965646806226516
13275,12631.0,37274,0.33886891667113805
13277,6122.0,20748,0.2950645845382687
13279,3170.0,7335,0.4321745057941377
13281,1.0,3775,0.00026490066225165563
13283,3222.0,6885,0.46797385620915033
13285,6388.0,26234,0.24350080048791645
13287,1822.0,8930,0.20403135498320268
13289,5.0,3951,0.0012655024044545685
13291,789.0,7513,0.10501796885398643
13293,4587.0,15330,0.29921722113502935
13295,19205.0,41931,0.45801435691970144
13297,27807.0,43145,0.6445011009386951
13299,10986.0,36312,0.30254461335095834
13301,122.0,5834,0.020911895783339046
13303,6306.0,16200,0.38925925925925925
13305,5392.0,16324,0.3303111982357265
13307,57.0,1408,0.040482954545454544
13309,345.0,7421,0.04648969141625118
13313,30712.0,49325,0.6226457171819564
13315,918.0,7042,0.13036069298494746
13317,1510.0,8446,0.17878285578972294
13319,2089.0,5243,0.3984360099179859
13321,698.0,9922,0.07034872001612578
15001,57925.0,140793,0.4114196018267954
15003,240032.0,570584,0.4206777617318397
15007,22943.0,49290,0.4654696693041185
15009,41845.0,133294,0.3139301093822678
16001,119470.0,296241,0.4032865133455531
16003,1014.0,3976,0.2550301810865191
16005,28774.0,73923,0.38924286081463144
16007,1549.0,5986,0.25877046441697293
16009,2165.0,9285,0.23317178244480344
16011,14711.0,40296,0.3650734564224737
16013,1693.0,21376,0.07920097305389222
16015,3341.0,7028,0.4753841775754126
16017,3351.0,33080,0.10129987908101572
16019,40337.0,79944,0.504565695987191
16021,1429.0,10972,0.13024061246810062
16023,605.0,2891,0.20927014873746108
16025,1117.0,1117,1.0
16027,36414.0,125419,0.29033878439470895
16029,375.0,6963,0.05385609651012495
16031,4666.0,12882,0.36221083682657973
16033,982.0,982,1.0
16035,687.0,8761,0.07841570596963816
16037,940.0,4368,0.21520146520146521
16039,7345.0,27038,0.2716547081884755
16041,919.0,12786,0.07187548881589238
16043,6176.0,13242,0.4663948044102099
16045,4739.0,16719,0.2834499671032957
16047,125.0,7474,0.016724645437516724
16049,2890.0,16267,0.17766029384643758
16051,6977.0,26140,0.2669089517980107
16053,5512.0,22374,0.24635737910074193
16055,38283.0,110321,0.34701462096971564
16057,6222.0,37244,0.16706046611534744
16059,2024.0,7936,0.2550403225806452
16061,1835.0,2094,0.876313276026743
16063,5074.0,5208,0.9742703533026114
16065,8055.0,26757,0.3010427177934746
16067,7430.0,16075,0.46220839813374803
16069,10897.0,31197,0.349296406705773
16071,578.0,4286,0.134857676154923
16073,3167.0,3913,0.809353437260414
16075,4427.0,14653,0.3021224322664301
16077,988.0,7817,0.12639119866956633
16079,1241.0,12765,0.09721895808852331
16081,906.0,10170,0.08908554572271386
16083,10906.0,44248,0.24647441692279878
16085,1838.0,9862,0.18637193267085783
16087,1724.0,10198,0.16905275544224357
17001,11088.0,43749,0.25344579304669823
17003,4086.0,8238,0.4959941733430444
17005,3691.0,17768,0.20773300315173346
17007,17066.0,40121,0.42536327608982827
17009,2393.0,6937,0.3449617990485801
17011,12790.0,28011,0.45660633322623256
17013,731.0,5089,0.1436431518962468
17015,1982.0,10988,0.18037859483072444
17017,1659.0,10987,0.1509966323837262
17019,43743.0,142807,0.30630851428851524
17021,2449.0,21512,0.11384343622164374
17023,5253.0,10964,0.47911346224005835
17025,2562.0,13815,0.18545059717698154
17027,6980.0,15655,0.44586394123283296
17029,15719.0,53873,0.2917788131345943
17031,382296.0,1623731,0.23544293974802477
17033,1733.0,16249,0.10665271709028248
17035,92.0,4518,0.02036299247454626
17037,40154.0,94866,0.4232707186979529
17039,1209.0,16561,0.07300283799287483
17041,2359.0,15899,0.1483741115793446
17043,206310.0,668021,0.30883759642286696
17045,7774.0,18576,0.41849698535745045
17047,1243.0,2409,0.5159817351598174
17049,5240.0,34242,0.1530284446001986
17051,8702.0,22140,0.39304426377597107
17053,3370.0,14081,0.2393295930686741
17055,8302.0,28817,0.2880938335010584
17057,4103.0,24055,0.17056744959467887
17059,3706.0,5589,0.6630882089819288
17061,245.0,10315,0.02375181774115366
17063,14232.0,32091,0.44348882864354494
17065,1162.0,8457,0.13740096961097314
17067,8255.0,16560,0.4984903381642512
17069,911.0,4320,0.21087962962962964
17071,99.0,5431,0.018228687166267722
17073,15856.0,38952,0.4070651057712056
17075,8638.0,21996,0.3927077650481906
17077,21031.0,46603,0.45127996051756325
17079,1525.0,9698,0.1572489173025366
17081,10216.0,30859,0.331054149518779
17083,5241.0,19491,0.2688933353855626
17085,3907.0,17559,0.22250697647929837
17087,948.0,8065,0.11754494730316181
17089,107963.0,322666,0.3345967656957969
17091,23576.0,77019,0.30610628546202884
17093,38750.0,70455,0.5499964516357959
17095,14214.0,48511,0.2930057100451444
17097,242054.0,531373,0.45552559125134323
